item_proposed	item_desired	date_proposed	date_reviewed	accepted
1	1215	2022-04-18		
3	632	2022-05-05	2022-06-06	0
5	7067	2022-05-12	2022-05-16	1
7	5136	2022-04-28	2022-05-06	1
8	3579	2022-04-20		
9	5446	2022-04-18	2022-04-19	0
9	7157	2022-04-19	2022-04-20	1
13	4877	2022-04-21		
14	1529	2022-04-15	2022-06-13	0
16	3300	2022-05-30		
16	7375	2022-04-18	2022-05-18	0
17	249	2022-04-15	2022-04-25	0
17	826	2022-05-02	2022-05-30	1
24	2900	2022-05-02	2022-05-06	0
32	6717	2022-04-28	2022-06-09	1
33	3281	2022-04-15	2022-04-26	0
34	6746	2022-05-20	2022-06-09	1
38	1687	2022-04-25	2022-05-06	1
41	7300	2022-04-18	2022-04-22	1
42	859	2022-05-04		
43	1566	2022-04-29	2022-05-04	0
45	1760	2022-05-09		
47	3156	2022-04-22		
48	1937	2022-04-20	2022-04-26	0
50	6661	2022-05-03	2022-05-16	1
51	2618	2022-04-26	2022-06-08	1
51	5077	2022-04-19	2022-04-26	0
55	437	2022-05-18	2022-06-10	0
60	5196	2022-04-15	2022-05-12	1
63	978	2022-04-18	2022-05-12	1
64	1163	2022-04-27		
66	3217	2022-05-05	2022-05-13	1
69	5725	2022-05-10	2022-06-01	1
74	591	2022-04-19	2022-05-02	0
81	4829	2022-04-25		
82	333	2022-05-17		
85	7209	2022-05-10	2022-05-11	1
87	624	2022-05-12		
87	5462	2022-04-21	2022-04-22	0
90	1271	2022-05-03	2022-06-03	1
90	2185	2022-04-28	2022-05-03	0
91	3834	2022-04-15		
92	672	2022-04-27	2022-05-23	1
96	4064	2022-05-16	2022-05-17	1
98	1008	2022-05-26	2022-06-02	1
99	5752	2022-05-27		
101	4078	2022-04-15		
104	5330	2022-04-21	2022-05-16	0
112	2456	2022-04-19	2022-05-26	1
113	1764	2022-04-18	2022-05-24	1
115	4195	2022-04-15	2022-05-03	1
116	5288	2022-04-28	2022-05-06	1
117	2407	2022-06-07		
119	33	2022-05-02	2022-05-10	0
119	6339	2022-06-02		
120	2224	2022-04-29	2022-06-14	1
122	835	2022-04-19	2022-05-02	1
123	6861	2022-04-15		
124	698	2022-04-28	2022-05-20	1
126	277	2022-05-09	2022-05-10	0
129	2687	2022-06-02		
130	4205	2022-04-20	2022-04-25	1
132	4798	2022-05-31		
135	3182	2022-04-15	2022-06-02	1
136	5062	2022-04-29	2022-05-23	1
136	6521	2022-04-19	2022-04-26	0
137	92	2022-04-18	2022-04-27	0
137	2188	2022-04-28	2022-06-08	1
138	83	2022-04-26	2022-05-24	1
139	3781	2022-04-26	2022-04-28	1
141	2519	2022-04-21	2022-06-08	0
143	2840	2022-05-31	2022-06-07	1
146	6786	2022-04-25	2022-06-14	1
150	1935	2022-04-21	2022-05-19	1
151	3067	2022-04-25	2022-05-11	1
154	6333	2022-04-15	2022-04-25	1
158	2204	2022-05-05	2022-05-25	1
161	5669	2022-04-20	2022-05-12	1
163	4981	2022-05-10	2022-05-18	0
167	5386	2022-04-22	2022-04-25	0
170	2809	2022-04-20	2022-05-05	1
171	2768	2022-04-25	2022-06-08	0
172	6800	2022-04-15	2022-04-22	1
174	1480	2022-04-18	2022-05-31	1
176	3048	2022-04-15	2022-05-24	1
179	2528	2022-05-10	2022-05-23	0
181	2639	2022-04-18	2022-04-26	1
182	446	2022-05-10		
182	3865	2022-04-26	2022-05-10	0
183	5097	2022-04-21	2022-04-26	1
186	5788	2022-04-26	2022-05-03	1
187	4633	2022-04-27		
188	5399	2022-05-16	2022-05-24	0
189	2191	2022-04-19	2022-05-11	0
189	4118	2022-05-12	2022-05-25	1
190	3188	2022-05-26		
191	595	2022-05-04	2022-06-01	1
193	6934	2022-05-20	2022-06-07	1
194	6668	2022-04-20	2022-04-25	0
195	5792	2022-04-22	2022-05-20	1
196	6008	2022-05-30		
197	7197	2022-04-21	2022-05-25	0
198	4617	2022-04-19	2022-04-26	1
199	1392	2022-05-30	2022-06-13	1
200	2783	2022-05-26		
211	1052	2022-04-27	2022-05-17	0
211	5400	2022-06-01	2022-06-03	0
212	6518	2022-04-25	2022-05-13	0
213	1496	2022-05-12	2022-05-23	1
213	5071	2022-04-19	2022-05-12	0
214	4636	2022-05-19	2022-05-26	1
219	1910	2022-04-20	2022-04-29	1
221	4860	2022-05-04	2022-05-20	1
222	700	2022-05-05		
222	874	2022-04-15	2022-04-29	0
223	2743	2022-05-06	2022-05-18	1
224	3312	2022-04-19	2022-05-30	0
225	5919	2022-04-25	2022-05-03	1
226	984	2022-05-05	2022-05-06	0
227	1016	2022-04-22	2022-05-05	1
229	1246	2022-04-18		
237	1274	2022-05-09	2022-05-11	0
239	6434	2022-04-21	2022-05-06	0
241	5904	2022-04-15	2022-04-27	1
242	5726	2022-05-06	2022-06-08	0
246	4511	2022-05-04		
247	449	2022-05-18	2022-05-19	1
249	4737	2022-04-27	2022-06-13	1
250	1922	2022-04-20	2022-05-04	1
253	1180	2022-04-19	2022-04-29	0
253	2864	2022-05-13	2022-06-14	0
254	1614	2022-04-20	2022-04-26	1
256	5903	2022-04-28	2022-05-04	1
258	6088	2022-06-10		
264	4211	2022-04-18	2022-05-09	1
265	2792	2022-05-25	2022-06-09	0
265	6377	2022-06-09		
266	143	2022-05-24	2022-05-27	0
268	4754	2022-05-17	2022-05-23	0
269	1216	2022-05-12		
271	7068	2022-04-22		
272	6659	2022-06-07	2022-06-08	1
274	4276	2022-05-27		
275	3335	2022-06-08		
277	5848	2022-05-17	2022-06-06	0
278	1428	2022-05-02		
279	1210	2022-04-18	2022-04-20	0
280	460	2022-04-25	2022-04-28	1
281	323	2022-04-29	2022-05-25	0
283	53	2022-04-19	2022-04-25	0
284	1644	2022-04-18	2022-05-17	0
285	2416	2022-04-22		
290	2154	2022-04-20	2022-04-29	1
291	517	2022-06-01		
292	3103	2022-04-15	2022-04-20	1
295	2158	2022-06-10		
296	5030	2022-05-12	2022-06-06	1
299	2056	2022-04-15	2022-04-29	0
301	1664	2022-06-08		
301	3745	2022-04-18	2022-05-17	0
302	6536	2022-06-08		
304	7202	2022-05-20	2022-05-25	1
305	5438	2022-04-18	2022-05-04	1
306	2410	2022-05-11	2022-06-13	0
307	147	2022-05-04	2022-05-23	1
308	651	2022-05-18	2022-06-08	1
309	1009	2022-04-20	2022-05-04	0
309	5406	2022-05-10	2022-05-19	1
311	2449	2022-04-18	2022-06-01	1
312	6689	2022-05-27	2022-06-02	0
313	3019	2022-06-03	2022-06-08	0
314	88	2022-04-19	2022-04-21	1
317	6737	2022-04-15	2022-04-25	1
319	6126	2022-04-25		
320	6921	2022-04-26	2022-05-02	0
322	2745	2022-04-21	2022-04-26	0
328	6822	2022-04-22	2022-04-25	1
329	924	2022-05-18	2022-05-25	0
330	5640	2022-05-05	2022-06-10	1
331	3886	2022-05-03	2022-05-09	0
331	4100	2022-04-15	2022-04-27	0
335	1538	2022-04-15	2022-05-04	1
336	7050	2022-04-21	2022-05-24	0
337	4182	2022-04-28	2022-04-29	1
338	4650	2022-05-02	2022-05-23	0
338	5874	2022-05-23		
339	4822	2022-04-25	2022-05-04	0
342	3496	2022-04-15	2022-04-27	0
342	7325	2022-06-02		
343	2058	2022-04-25	2022-04-28	1
346	961	2022-06-01		
349	2149	2022-05-03	2022-05-31	1
350	5742	2022-04-22	2022-05-13	1
351	5064	2022-05-06	2022-06-03	0
355	6884	2022-05-27		
356	6855	2022-04-27	2022-06-10	1
357	3976	2022-04-18	2022-05-03	0
358	4921	2022-05-19	2022-05-24	0
359	1903	2022-05-02	2022-05-05	1
361	1227	2022-06-07		
363	6598	2022-05-30		
365	5024	2022-04-20		
366	5177	2022-04-19	2022-04-29	1
368	2491	2022-05-09	2022-05-17	0
368	2656	2022-06-06		
370	5413	2022-05-16	2022-05-18	1
372	6954	2022-04-15		
373	2704	2022-04-28	2022-05-27	0
376	6587	2022-05-06	2022-05-16	0
379	4336	2022-04-25	2022-05-10	1
380	4299	2022-04-15	2022-04-28	1
381	7385	2022-04-21	2022-05-30	1
384	6289	2022-05-02	2022-05-13	1
388	909	2022-06-06	2022-06-10	1
393	7114	2022-04-18	2022-04-19	1
396	5289	2022-04-18	2022-06-01	0
398	5786	2022-05-02	2022-05-10	0
399	251	2022-04-27		
401	4073	2022-05-24	2022-06-02	1
401	5537	2022-04-20	2022-05-09	0
406	2907	2022-05-02	2022-05-26	1
409	2296	2022-06-03		
410	6351	2022-04-27	2022-04-29	1
411	2610	2022-04-21	2022-04-22	1
414	3838	2022-05-02	2022-05-16	1
415	190	2022-04-18	2022-05-25	0
418	5237	2022-04-26	2022-04-29	1
419	4982	2022-05-05	2022-05-13	1
420	2237	2022-04-15	2022-04-20	0
426	100	2022-04-18	2022-04-21	0
426	1377	2022-04-28	2022-05-04	0
426	5335	2022-06-10		
427	2890	2022-04-19	2022-05-25	0
427	7098	2022-05-27	2022-05-31	1
428	2772	2022-05-30	2022-06-13	0
430	3556	2022-04-26	2022-04-29	1
436	5933	2022-04-25	2022-05-25	1
440	4144	2022-06-10		
441	1711	2022-05-31		
445	5405	2022-04-18		
450	3493	2022-05-04	2022-05-26	0
450	4601	2022-04-20	2022-05-04	0
451	2166	2022-05-25		
452	676	2022-04-27	2022-05-03	0
453	4900	2022-05-03	2022-05-17	1
454	1346	2022-04-15	2022-04-18	1
455	3216	2022-05-04	2022-06-09	1
459	1171	2022-04-29		
461	4150	2022-05-18	2022-05-20	1
464	7326	2022-04-15	2022-04-28	0
466	3377	2022-04-27	2022-05-19	0
468	4508	2022-05-03	2022-05-06	0
470	6120	2022-04-25	2022-04-27	1
471	713	2022-04-15	2022-04-19	0
471	2670	2022-04-20	2022-04-28	1
473	6483	2022-04-20	2022-04-21	0
474	1849	2022-04-21	2022-04-28	1
476	1197	2022-04-19	2022-04-25	0
477	933	2022-05-17	2022-05-23	0
478	2819	2022-06-02		
479	5176	2022-04-22	2022-05-10	1
480	2257	2022-05-03	2022-05-09	1
481	6893	2022-05-11	2022-05-16	1
482	7254	2022-04-20	2022-05-16	1
484	6385	2022-05-02		
485	2532	2022-04-22	2022-06-02	0
486	7389	2022-04-19	2022-05-02	0
489	4696	2022-05-09		
491	4659	2022-04-15	2022-04-28	1
495	3566	2022-06-02	2022-06-13	0
500	1178	2022-05-03		
501	4279	2022-04-22	2022-04-29	1
505	2470	2022-04-15	2022-05-04	1
506	2784	2022-05-11	2022-06-01	0
507	131	2022-04-20	2022-05-13	1
508	4509	2022-04-18	2022-04-20	1
509	6077	2022-06-02		
510	4668	2022-05-02		
511	400	2022-04-15		
512	1368	2022-05-03	2022-06-02	0
513	1207	2022-04-19	2022-04-21	1
514	2097	2022-05-10	2022-06-07	1
516	3009	2022-04-20	2022-05-06	1
518	3636	2022-04-19	2022-04-20	0
518	7388	2022-04-21	2022-04-25	0
519	4471	2022-06-10		
520	5971	2022-05-02	2022-06-10	1
522	5690	2022-04-25		
525	6419	2022-04-26	2022-05-04	1
526	5753	2022-04-25	2022-05-02	1
528	5464	2022-04-19	2022-06-14	0
529	2590	2022-05-11	2022-05-27	0
530	3387	2022-06-08		
530	5448	2022-04-18	2022-05-27	0
531	2	2022-04-15	2022-05-09	1
532	4327	2022-04-15	2022-04-18	0
534	3754	2022-04-18	2022-05-12	1
535	5124	2022-04-25		
537	2091	2022-05-31	2022-06-09	0
540	4066	2022-04-15	2022-05-04	1
542	3787	2022-04-20		
545	2683	2022-05-19	2022-06-06	1
547	5337	2022-04-15	2022-04-18	1
549	3607	2022-06-07		
551	1682	2022-04-19	2022-05-30	0
552	2848	2022-04-26	2022-04-28	1
553	3846	2022-04-20	2022-06-09	0
